,soudelor_maxWind,soudelor_gust,dujuan_maxWind,dujuan_gust,megi_maxWind,megi_gust,matmo_maxWind,matmo_gust,nepartak_maxWind,nepartak_gust,meranti_maxWnd,meranti_gust,nesat_maxWind,nesat_gust
基隆市,20.6,45.7,24.3,42.5,18.2,39.3,12,32.4,7.1,19.2,9.5,26,17.6,41.5
台北市,11.98888889,42.46666667,12.13333333,41.36666667,12.6,37.96666667,9.666666667,27.63333333,7.6,21.36666667,18.06666667,25.5,12.9,33.76666667
新北市,11.98888889,42.46666667,12.13333333,41.36666667,12.6,37.96666667,9.666666667,27.63333333,7.6,21.36666667,18.06666667,25.5,12.9,33.76666667
桃園市,11.825,34.8,11.7,33.85,12.9,37.2,9.3,23.2,7.55,19.85,8.1,20.95,11.7,30.25
新竹市,10.8,30.4,11.8,30.6,12.7,36.7,7.3,19.9,7.7,20.6,6.9,18.8,9,24.4
新竹縣,10.8,30.4,11.8,30.6,12.7,36.7,7.3,19.9,7.7,20.6,6.9,18.8,9,24.4
苗栗縣,10.8,30.4,11.8,30.6,12.7,36.7,7.3,19.9,7.7,20.6,6.9,18.8,9,24.4
南投縣,19.7,27.45,16.4,34.3,13.3,30.05,10.4,20.1,12.65,26.3,17,37.2,7.2,18.15
台中市,25.825,42.35,18.15,37.8,22.7,45.7,9.9,27.2,7.5,16.8,6.6,13.05,10.2,21.3
彰化縣,17.12222222,33.26666667,15.56666667,35.33333333,17.56666667,37.96666667,7.866666667,21.23333333,6.566666667,15.63333333,7.133333333,17.9,10.13333333,20.86666667
雲林縣,9.877777778,30.7,10.7,30.16666667,11.1,29.96666667,6.833333333,21.13333333,6.033333333,16.56666667,5.5,16.73333333,6.6,17.3
嘉義市,11.825,30.8,11.2,30.1,10.7,27.85,7.15,20.6,6.95,19.3,6.1,20.3,6.75,15.55
嘉義縣,11.825,30.8,11.2,30.1,10.7,27.85,7.15,20.6,6.95,19.3,6.1,20.3,6.75,15.55
台南市,15.8,34.4,11.3,24.6,15.6,36.6,10.6,27.7,12.8,27,19.5,37.1,12.7,23.3
高雄市,15.9,31,12,22.1,15,34.5,10.5,23.5,15.4,34.3,16.6,39.1,11.7,24.8
屏東縣,14.8,34.9,10.6,25.5,15.5,31.3,6.8,19.9,10.9,26.1,22.1,57.2,12.5,29.8
宜蘭縣,29.725,57.9,29.55,59.5,25.95,51.7,16.05,31.5,10.2,21.55,10.95,21.55,26.25,51.9
臺東縣,9.655555556,26.76666667,7.666666667,22.53333333,11.76666667,32.73333333,16.73333333,31,15.7,44.96666667,12.73333333,28.03333333,17.23333333,20.56666667
花蓮縣,19.1,43.5,23.5,38.8,20.7,44.2,19.1,34.6,9.8,17.7,10.3,21.9,18.7,35.2
澎湖縣,27.28888889,46.76666667,22.36666667,36.26666667,28.36666667,43.43333333,19.86666667,31.1,17.2,29.76666667,26,43.66666667,16.26666667,27.13333333
連江縣,17.15,35.5,12.95,26.4,18.3,29.75,14.85,29.9,10.6,18.1,27.6,44.35,22.55,19.2
金門縣,17.15,35.5,12.95,26.4,18.3,29.75,14.85,29.9,10.6,18.1,27.6,44.35,22.55,19.2
